gloss,uses,forms,sayable
"grimace, smirk; face",10,1,1
carjacou; whitetail,10,1,0
carline (thistle of genus carlina),10,1,1
a balcony in rome,10,1,1
"carmine, crimson (having a deep, slightly bluish red colour)",10,1,1
"carnal (relating to the physical, especially sexual, appetites)",10,1,1
"genista tridentata, a plant native to the iberian peninsula",10,1,1
"sour, tart, acid",10,1,1
rough; gravelly,10,1,1
shopping cart,10,1,1
incan,10,1,0
a noose,10,1,0
"any plant of the species erythroxylum catuaba, eriotheca candolleana, anemopaegma glaucum, or avenco paegma mirandum, all found in brazil",10,1,1
floor (storey),10,1,1
belt (item of clothing),10,1,1
"pivot, peg, pin",10,1,1
a circle,10,1,1
dropnet,10,1,0
cerite,10,1,0
worm (invertebrate),10,1,1
caesar (title of a roman emperor),10,1,1
sha'ban (the eighth month of the islamic calendar),10,1,1
fallen timber,10,1,1
achaean,10,1,0
of the chaima people,10,1,1
cottage; rural house,10,1,1
chamartín (district),10,1,1
"button mushroom, champignon (a mushroom of the agaricus genus)",10,1,1
khanate (place ruled by a khan),10,1,1
slipper or flip-flop (house shoe),10,1,1
chapter,10,1,1
pewter,10,1,0
"podocarpus oleifolius, a conifer of central america and the northern andes.",10,1,1
"rite, ritual",10,1,1
a burn; an instance of burning,10,1,1
epaulette,10,1,0
charette (small two-wheeled cart),10,1,1
servants working at a farm,10,1,1
auca,10,1,0
a medieval english surname from old french,10,1,1
slipper (footwear),10,1,0
"female equivalent of chavo, young girl",10,1,1
slam,10,1,0
t-shirt,10,1,1
verbal noun of enter,10,1,1
butt cheek,10,1,1
a traditional drink of amazonian origin,10,1,1
that gets drunk very often,10,1,1
"horn, antler (bone outgrowth on the head of some mammals)",10,1,1
"gamma (the third letter of the greek alphabet (γ, γ), preceded by beta (β, β) and followed by delta, (δ, δ))",10,1,1
"to connect, interweave, attach, unite; relate",10,1,1
shi'ite,10,1,0
"chilpancingo (a city, the state capital of guerrero, mexico)",10,1,1
present indicative direct relative of feic,10,1,1
"chivito, a uruguayan sandwich",10,1,1
khokhol,10,1,0
"chorzów (a city in silesian voivodeship, poland)",10,1,1
a region of copenhagen considering itself to be independent from the state of denmark,10,1,1
a town on the hellespont situated between abydus and ophrynium,10,1,1
"a city in the metropolitan city of rome, lazio region, italy, the site of one of rome's airports",10,1,1
choosy; dainty or fussy (in eating),10,1,1
cieszyn (a town in southern poland),10,1,1
"catch, hitch, snag, kicker (problem or unexpected difficulty in a deal, negotiation or task)",10,1,1
having curly hair or ringlets,10,1,1
short masculine singular of чи́нный (čínnyj),10,1,1
"chink, gap, fissure",10,1,1
cirrus (type of cloud),10,1,1
second-person singular imperative imperfective of чи́стить (čístitʹ),10,1,1
citron,10,1,0
"a town and district of ardahan province, turkey",10,1,1
a roman gens name.,10,1,1
a male given name derived from nikolaus,10,1,1
keystone,10,1,0
finch (fringillidae ssp.),10,1,1
air-con,10,1,1
clinker,10,1,0
"quick, swift, agile, nimble, speedy, active",10,1,1
"a kind of sword, used in theatrical performances, whose blade retracts into the hilt when used.",10,1,1
"a mass, lump, or ball (of metal)",10,1,1
"-arch (leading, leader)",10,1,1
young cockerel,10,1,1
third-person singular past historic of cocoler,10,1,1
blow on the head,10,1,1
to code; to encode,10,1,1
"coevorden (a city and municipality of drenthe, netherlands)",10,1,1
second-person singular present optative of olla,10,1,1
"coitus, sexual intercourse",10,1,1
fellow student,10,1,1
"to stick (together), to glue",10,1,1
"to put, place, set",10,1,1
"colomiers (a town in haute-garonne department, occitania, france)",10,1,1
attic,10,1,0
comedy,10,1,1
connection (the point at which two or more things are connected),10,1,1
"confines, edges",10,1,1
"a conflict, clash or dispute",10,1,1
confucius,10,1,0
coining,10,1,1
constant (quantity that remains at a fixed value throughout a given discussion),10,1,1
county (territory of a count or countess),10,1,1
conversion,10,1,0
"complainer, moaner",10,1,0
crowned,10,1,1
horn-shaped amulet resembling a hot pepper,10,1,1
european cornel (cornus mas),10,1,0
korone (a town in greece),10,1,1
kit (equipment),10,1,1
brown meagre (sciaena umbra),10,1,1
a choir (singers who musically accompany a liturgy),10,1,1
first-person singular preterite indicative of censar,10,1,1
"pimple, zit",10,1,1
"a soft ripened cow cheese from coulommiers, seine-et-marne",10,1,1
"courage, guts, initiative",10,1,1
"garden, yard",10,1,1
"covasna (a town in covasna county, romania)",10,1,1
"a village in stănișești, bacău county, romania",10,1,1
"lash, stroke of a whip",10,1,1
crinoline,10,1,0
"a village in the province of biella, piedmont, italy",10,1,1
"muddy, murky",10,1,1
cruzado (old monetary unit of brazil),10,1,1
a t-shaped ruler used by construction workers to measure right angles,10,1,1
the name of the latin-script letter cs/cs.,10,1,1
"cuartillo, quarter-celemin (a traditional unit of dry measure equivalent to about 1.2 l)",10,1,1
to provoke (someone),10,1,1
"ladle (deep-bowled spoon with a long, usually curved, handle)",10,1,1
grain fields,10,1,1
curling,10,1,1
a tribe of germany mentioned by pliny,10,1,1
cyanide (c≡n-based compound),10,1,1
a cyclops; a one-eyed giant from greek and roman mythology.,10,1,1
frolic,10,1,0
hilarious,10,1,0
frequently or constantly laughing,10,1,1
dalarna (a county in central sweden),10,1,1
branched,10,1,1
compound of da' lo; give it!,10,1,1
lsd (psychedelic drug),10,1,1
ladies watch (watch designed for women),10,1,1
danae,10,1,0
function properly,10,1,1
present adverbial imperfective participle of дари́ть (darítʹ),10,1,1
verbal noun of دَسِمَ (dasima) (form i),10,1,1
a prefix;,10,1,1
debauchery; dissipation,10,1,0
to decide,10,1,1
discovered,10,1,1
"rapier, smallsword",10,1,0
"a town and municipality of örebro county, sweden",10,1,1
"to lunch, to eat lunch, to have lunch",10,1,1
dolphin (mammal),10,1,1
"a blanket, warm textile cover",10,1,1
present indicative/future impersonal of dal,10,1,1
female laborer,10,1,1
"home, domicile, residence",10,1,1
"a town and district of kırklareli province, turkey",10,1,1
"a town and district of bayburt province, turkey",10,1,1
"fool, idiot, dork (quirky, silly and/or stupid, socially inept person, or one who is out of touch with contemporary trends)",10,1,1
bark of a tree,10,1,1
"pattern (on fabric, paper etc.)",10,1,1
"to desert (a place), abandon",10,1,1
"scorn, contempt",10,1,1
"a surname, equivalent to english meadows",10,1,1
dessert,10,1,1
detective (police officer who looks for evidence),10,1,1
bereavement,10,1,0
false lead or hint; a feint,10,1,1
"verbal noun of دَابَرَ (dābara, "to turn the back upon") (form iii)",10,1,1
the tigris (a river),10,1,1
"teat, pap, nipple",10,1,1
agent noun of dienen; servant,10,1,1
"cold cream, cosmetic cream, salve, ointment, unguent",10,1,1
"a female given name, masculine equivalent dionisio, equivalent to english denise",10,1,1
"hound, hunting dog",10,1,1
disciple,10,1,0
docker; longshoreman,10,1,0
doctrine,10,1,1
used to form nouns referring to places from verbs.,10,1,1
"cathedral of a town or city, especially in italy or germany",10,1,1
the finnish government-owned railway company; vr group.,10,1,1
domra (round-bodied lute of east slavic origin with either three or four strings),10,1,1
a male given name comparable to dorian,10,1,1
dotal,10,1,0
heavy rain; downpour,10,1,1
to dredge,10,1,1
"a city in vâlcea county, romania",10,1,1
first/third-person singular subjunctive ii of dringen,10,1,1
"to be of an opinion, to think, to believe, to feel",10,1,1
"to say, tell",10,1,1
agent noun of drehen; turner,10,1,1
drummondville (a city in quebec),10,1,1
"flair, knack",10,1,1
third-person singular past historic of bicher,10,1,1
duchy (a dominion or region ruled by a duke or duchess),10,1,1
"a dictionary of the german language, first published by konrad duden in 1880.",10,1,1
"dudinka (a port city in krasnoyarsk krai, russia)",10,1,1
dulia,10,1,0
"boil, sore, furuncle, abscess, ulcer",10,1,1
"to dash, to rush",10,1,1
"entourage, friends (plural of دوست)",10,1,1
perfume,10,1,0
the state of an instrument being correctly tuned,10,1,1
two hundred; 200,10,1,1
"state of being flat, flatness",10,1,1
lightning bolt,10,1,1
first/second-person singular past historic of revoir,10,1,1
"added to a noun, adjective, or verb to form a verb.",10,1,1
"a hamlet in terneuzen, zeeland, netherlands",10,1,1
effluent,10,1,0
aegina (an island of greece),10,1,1
egypt (a country in north africa and west asia; capital: cairo),10,1,1
to settle (cultivate hitherto unoccupied areas; create a colony in foreign land),10,1,1
"a male given name, equivalent to latin helladius or ancient greek έλλάδιος (élládios)",10,1,1
"a town and district of kilis province, turkey",10,1,1
elemin,10,1,0
"flange (external or internal rib or rim, used either to add strength or to hold something in place)",10,1,1
"rock, sway (act of rocking)",10,1,1
"a female given name, equivalent to english emma",10,1,1
tinsmith,10,1,0
"an enemy, foe, or adversary:",10,1,1
entremont: a surname,10,1,0
"aeolian, wind",10,1,1
"epoch, era, age, period",10,1,1
"hercules, heracles",10,1,0
"a town and district of karaman province, turkey",10,1,1
archduke (the son or male-line grandson of an emperor of the austro-hungarian empire.),10,1,1
old latin form of eram,10,1,1
penniless; impoverished,10,1,0
"torso, trunk, body",10,1,1
aspen (made of aspen wood),10,1,1
backbone,10,1,0
"essence, being",10,1,1
a native or inhabitant of esslingen,10,1,1
stay (a strong rope or wire supporting a mast),10,1,1
beach (sandy shore),10,1,1
female estonian,10,1,1
channel for salt marshes,10,1,1
a town in southern rome,10,1,1
evidence,10,1,1
excellence (the quality of being excellent),10,1,1
"expedition, campaign, mission",10,1,1
third-person singular past historic of explorer,10,1,1
ecb; initialism of europäische zentralbank,10,1,1
"tasteless, insipid",10,1,0
verbal noun of فَخَّ (faḵḵa) (form i),10,1,1
"verbal noun of فَكَرَ (fakara, "to think") (form i)",10,1,1
part or group of people within a party with a distinct opinion that may be more extreme or differ from the majority,10,1,1
"mouthful, bite, bolus",10,1,1
second-person singular voseo present indicative of fallar,10,1,1
bonfire,10,1,0
"for sale, that can be bought, bribable, corrupt",10,1,1
"hair, specifically that on the head.",10,1,1
"a river in bistrița-năsăud, romania, tributary to the bistrița",10,1,1
"verbal noun of فَقَرَ (faqara, "to dig; to pierce") (form i)",10,1,1
small piece,10,1,1
apocopic form of fare,10,1,1
bran (outside layer of a grain),10,1,1
"faroe islands (an archipelago and self-governing dependent territory of denmark, in the north atlantic ocean between scotland and iceland)",10,1,1
"buttock, posterior",10,1,0
"fatal, having serious consequences, severe",10,1,1
"male adolescent, youth, juvenile",10,1,1
"a cord, rope, chain, or fetter.",10,1,1
verbal noun of فَطَنَ (faṭana) (form i),10,1,1
"a town in the province of agrigento, sicily, italy",10,1,1
favourite/favorite,10,1,0
"a festival of purification, celebrated on february 15th",10,1,1
"a male given name, equivalent to english felix",10,1,1
"holidays during which an institution (especially a school, university) or a business is closed; break (usually three days or more)",10,1,1
accentor (bird of the genus prunella),10,1,1
"separable verbal prefix that signifies an action that results in the object being in a firm, tightened, fastened, or attached state",10,1,1
la federación internacional de ajedrez (the international chess federation),10,1,1
"figueres (the capital of the comarca of alt empordà, girona province, catalonia, spain)",10,1,1
thinking,10,1,1
"children (one's direct descendant by birth, regardless of age; one's offspring; a son or daughter)",10,1,1
to frisk (search someone by feeling their clothes),10,1,1
to exist; to be,10,1,1
"tank, reservoir, cistern",10,1,1
"web, interdigital webbing, a membrane that connects the digits of an animal",10,1,1
"hazelnut, filbert, the nutlike fruit of the tree corylus avellana",10,1,1
a stain,10,1,1
a red wine from the rhône department,10,1,1
"splinter, chip (of wood)",10,1,1
palm sunday,10,1,1
"sailor, shipman",10,1,1
any insect capable of airborne motion.,10,1,1
soccer,10,1,1
following (an account which is followed),10,1,1
foundry,10,1,0
"to unite, combine, join, unify",10,1,1
"a strengthening, fortifying",10,1,1
"ready, eager, willing, prompt",10,1,1
"a historic region of brescia, lombardy",10,1,1
"common ash, european ash, ash (tree, fraxinus excelsior)",10,1,1
fribourg (a canton of switzerland),10,1,1
"a district (ortsteil) of friedrichshain-kreuzberg borough, berlin, germany",10,1,1
frizz (of hair),10,1,1
frontal,10,1,0
frontlet,10,1,0
the act of pissing,10,1,1
founded (having a basis),10,1,1
five (numerical value represented by the arabic numeral 5; or describing a set with five elements),10,1,1
"a two-pronged fork, pitchfork.",10,1,1
furry (anthropomorphic animal; a member of the furry fandom),10,1,1
prince (ruler or head of a principality),10,1,1
appended to verbs or nouns to form names of professions or agents; -er,10,1,1
"cloak, overcoat",10,1,0
"gabelle, salt tax",10,1,1
leprosarium (place where leprous people are quarantined),10,1,1
"mourning, grief, sorrow, lament",10,1,1
verbal noun of غَلِطَ (ḡaliṭa) (form i),10,1,1
gang of youngsters,10,1,1
"sexually excited, lustful, aroused",10,1,1
"jug, bucket, pail",10,1,1
backgammon (board game),10,1,1
gamer,10,1,1
open joint-stock company (a type of company in many post-soviet states),10,1,1
"a river in brașov, romania, tributary to the tărlung",10,1,1
wheel (any circular device which rotates on its axis.),10,1,1
verbal noun of غَرْغَرَ (ḡarḡara) (form iq),10,1,1
"desolate, miserable, dejected",10,1,0
garonne (a river in france and spain),10,1,1
"a garth (yard, croft, garden)",10,1,1
worsted (type of woolen cloth),10,1,1
gas pipeline,10,1,1
a spear (whether used for throwing or thrusting),10,1,1
first-person singular past historic of gâter,10,1,1
