piqdjiz,,lull,,pingjing,平静,chinese,
pigment,,pigment,,,,english,
pitzutz,,explosion,,pitzutz,פִּיצּוּץ,hebrew,
pentret,,penetrate,,,,english,
pestron,,pest,,,,,
pevmant,,pavement,,,,,
pantsil,,pencil,,,,english,
pantxes,,punch,,,,,
pankxet,,punctuate,,,,english,
patridj,,partridge,,,,english,
pastxur,,posture,,,,english,
pastlet,,postulate,,,,,
paltxim,,forsake,,paoqi,抛弃,chinese,
pargraf,,paragraph,,,,,
partorv,,perturb,,,,,
partnor,,partner,,,,english,
parklar,,particular,,,,english,
parsant,,percent,,,,english,
parspet,,participate,,,,,
parfrez,,paraphrase,,,,
,englishpostpone,,,,,
portfol,,portfolio,,,,,
portxik,,perch,,,,,
porklet,,percolate,,,,,
porskut,,persecute,,,,,
porvort,,pervert,,,,english,
porlaps,,perhaps,,,,english,
pulprax,,pulp,,,,,
purgtor,,purgatory,,,,english,
purport,,purport,,,,english,
plamant,,implement,,,,english,
plandor,,plunder,,,,,
plasint,,placenta,,,,english,
plastik,,plastic,,,,english,
plastur,,plaster,,,,,
plodrat,,ploy,,,,,
plugnat,,plug,,,,,
primand,,reprimand,,,,,
primpik,,primp,,,,english,
prinpal,,principle,,,,english,
pridkat,,predicate,,,,,
pritvin,,soil,,pṛthvī,पृथ्वी,sanskrit,
priklud,,preclude,,,,english,
prizurv,,preserve,,,,,
prentas,,apprentice,,,,english,
pretand,,pretend,,,,,
prevant,,block/prevent,,,,,
prejdis,,prejudice,,,,english,
prampit,,prompt,,,,,
pradiqk,,undo,,,,,
pratxir,,enclosure,,prācīra,प्राचीर,sanskrit,
prakrit,,original nature,,Prakṛti,प्रकृति,sanskrit,
praskut,,prosecute,,,,,
roz,,rose,,,,english,
prasvin,,sweat,,prasvinna,प्रस्विन्न,sanskrit,
promzur,,pass out,,,,,
program,,program,,,,english,
proptik,,property (object),,,,,
proklem,,proclaim,,,,,
profret,,proliferate,,,,english,
prudant,,prudent,,,,english,
pruksur,,pick out,,,,,
prukrik,,pick up,,,,,
prufrid,,proofread,,,,english,
tindjor,,tinge,,,,english,
tepstal,,still (time),,,,,
testvan,,testify,,,,,
terdjan,,tear (paper),,,,,
tamkits,,incentive,,tamQiyts,תַמרִיץ,hebrew,
tamrets,,stimulate,,letamR(e)tz,לְתַמְרֵץ,hebrew,
tantxeq,,candid,,tǎn chéng,坦诚,chinese,
tadjrib,,experiment,,tajribah,تجربه,arabic,
takdjip,,talk over,,,,,
takston,,text,,,,,
taltxon,,tout,,,,,
tardjak,,interject,,,,,
tarspus,,intersperse,,,,english,
toqtxiq,,sympathy,,tóng qíng,同情,chinese,
toltarn,,totalitarian,,,,english,
tormnet,,terminate,,,,english,
torntaj,,turn down,,,,,
tornvun,,turn on,,,,,
tornrik,,turn up,,,,,
tortxus,,tortuous,,,,english,
turdzat,,turd,,,,,
txintoq,,bronze,,qīng tóng,青铜,chinese,
txinfan,,diligent,,qinfen,勤奋,chinese,
txiqbal,,innocent,,qingbai,清白,chinese,
txiqfun,,frivolity,,qīng fú,轻浮,chinese,
huz,,duration,,,,,
txidjup,,lasting,,chijiu,持久,chinese,
tkidran,,slit,,chidrá,छिद्र,sanskrit,
txilxaq,,kind (pleasant),,cixiang,慈祥,chinese,
txiraqk,,frail,,cuì ruò,脆弱,chinese,
txenmen,,dreary,,chén mèn,沉闷,chinese,
txenxuk,,statement,,chén shù,陈述,chinese,
txeqnul,,commit,,chengnuo,承诺,chinese,
txandan,,dismal,,cǎn dàn,惨淡,chinese,
txandal,,outcast,,caṇḍāla,चण्डाल,sanskrit,
txanbol,,propagate,,chuanbo,传播,chinese,
txanbuk,,aggregate,,quánbù,全部,chinese,
txantim,,premise,,qianti,前提,chinese,
txantoq,,legacy,,chuántǒng,传统,chinese,
txantup,,future,,qián tú,前途,chinese,
txansul,,huddle,,quansuo,蜷缩,chinese,
txanzal,,precursor,,qianzhao,前兆,chinese,
txanxin,,gasp,,chuanxi,喘息,chinese,
txaqnat,,hangover,,,ཆང་ནད,tibetan,
txaqbek,,pale,,cāng bái,苍白,chinese,
txaqxol,,longevity,,cháng shòu,长寿,chinese,
txaptor,,chapter,,,,,
txatxal,,tribute,,,དཔྱ་ཁྲལ,tibetan,
txaksur,,check out,,,,,
txaklet,,chocolate,,,,,
txakras,,check in,,,,,
txalbak,,chill,,,,,
txalxik,,soggy,,cháo shī,潮湿,chinese,
txalxaq,,poor,,chasheng,差生,chinese,
txarmiq,,charm,,,,,
txarpit,,chop,,,,,
txarten,,chert,,,,,
txartor,,charter,,,,english,
txarkum,,char,,,,,
txonmiq,,clever,,cōngmíng,聪明,chinese,
txoqxik,,substantiate,,chōngshí,充实,chinese,
txotxim,,reek,,chouqi,臭气,chinese,
txunsol,,mellow,,chún hòu,醇厚,chinese,
txunzip,,skirt,,qún zi,裙子,chinese,
txuqzat,,bit (small amount),,,ཅུང་ཟད,tibetan,
txudjum,,pursue,,zhuiqiu,追求,chinese,
txutsot,,clock,,,ཆུ་ཚོད,tibetan,
txulrol,,fragile,,cuiruo,脆弱,chinese,
txarnak,,churn,,,,english,
txurnam,,powder,,cūrṇa,चूर्ण,sanskrit,
txurpan,,chirp,,,,,
trigald,,trigger,,,,english,
treqkal,,tranquil,,,,,
trespas,,trespass,,,,,
trankot,,trunk (tree),,,,english,
traqmat,,uncountably large,,drangmé,གྲངས་མེད,tibetan,
tradjak,,trajectory,,,,english,
mesor,,tradition,,,,hebrew,
trap,,trap,,,,english,
traktor,,tractor,,,,english,
traxkan,,trash,,,,english,
trospak,,introspect,,,,english,
kemdusk,,come across,,,,,
kamkruc,,come up with,,,,,
kamants,,commence,,,,,
kambast,,combust,,,,english,
kamplit,,complete,,,,english,
kamplem,,complement,,,,english,
kamplen,,complain,,,,english,
plax,,accomplish,,,,english,
kampraz,,comprise,,,,english,
kamtzan,,oxygen,,chamtzan,חַמְצָן,hebrew,
kamflaj,,camouflage,,,,english,
kantemp,,contempt,,,,english,
kantand,,contend,,,,,
kantaks,,context,,,,english,
kantort,,contort,,,,,
kantxut,,concrete,,,,english,
kantriv,,contrive,,,,english,
kantrak,,contract,,,,english,
simsum,,contraction,,,צמצום,hebrew,
kantrup,,gargle,,khantrüpa,ཁ་འཁྲུད་པ,tibetan,
kankest,,conquest,,,,english,
kanklud,,conclude,,,,english,
kankrit,,concrete (abstract),,,,english,
kansorn,,concern,,,,english,
kanspir,,conspire,,,,english,
kanfand,,confound,,,,english,
kanform,,conform,,,,,
kanfort,,confetti,,,,,
kanvaks,,convex,,,,english,
kanvals,,convulsant,,,,english,
kanvors,,converse (opposite),,,,english,
kaqgret,,congregate,,,,english,
kapstet,,incapacitate,,,,english,
kapslet,,encapsulate,,,,,
katpult,,catapult,,,,,
katlist,,catalyst,,catalyst,,english,
kaktrup,,refutation/proof,,gakdrup,དགག་སྒྲུབ,tibetan,
kakrotx,,cockroach,,,,,
kastget,,castigate,,,,english,
kaskron,,cask,,,,,
kavantx,,intention,,,,,
kalmnet,,culminate,,,,,
kalbret,,calibrate,,,,english,
kaltxob,,couch,,,,english,
kaltxur,,culture,,,,,
karpvun,,keep on,,,,,
kartzin,,quartz,,,,,
kartzef,,scrub,,lekaRtz(e)f,לְקַרְצֵף,hebrew,
konvlas,,convalescence,,,,english,
koqdjan,,leeway,,kōngjiān,空间,chinese,
koqdjum,,funk,,kongju,恐惧,chinese,
koglant,,coagulant,,,,english,
kormant,,cormorant,,,,english,
korgraf,,choreograph,,,,,
korpret,,incorporate,,,,,
kumbant,,incumbent,,,,english,
kurdjun,,curd,,,,,
klinrik,,clean up,,,,,
klipsat,,clip (bind),,,,,
klipron,,clip (cut off),,,,,
klivrak,,cleave,,,,,
klantam,,fatigue,,,क्लान्त,sanskrit,
klagxin,,clog,,,,english,
klatxul,,clutch,,,,,
klasfan,,classify,,,,,
kloztaj,,close down,,,,,
klorfil,,chlorophyll,,,,english,
kridant,,creed,,,,english,
kritsaz,,criticize,,,,english,
krispal,,crisp,,,,english,
krixnam,,wicked,,kṛṣṇa,कृष्ण,,
krenatx,,crane,,,,english,
kreqkit,,cranky,,,,english,
krampol,,crumple,,,,english,
krankal,,chronicle,,,,english,
krabret,,corroborate,,,,english,
krakdal,,crocodile,,,,english,
kraksoq,,crux,,,,,
krastin,,christen,,,,english,
krastoz,,crest,,crest,,english,
krustax,,crustacean,,,,english,
krusfad,,crucify,,,,,
himgrat,,immigrate,,,,,
himpitx,,impeach,,,,,
himpals,,impulse,,,,english,
himpart,,impart,,,,,
himplan,,imply,,,,,
himplav,,implore,,,,,
hindant,,indent,,,,,
hindors,,endorse,,,,,
hindjan,,hinge,,,,english,
hindjar,,injure,,,,english,
hintorn,,intern,,,,,
hintrak,,interact,,,,,
hintrud,,intrude,,,,,
hinsurt,,insert,,,,english,
hinstad,,instead,,,,,
hinflit,,inflict,,,,,
hinflem,,inflame,,,,,
hinvort,,invertebrate,,,,,
hiqgret,,integrate,,,,,
hiqgros,,engross,,,,,
hiprotx,,approach,,,,english,
hiklaps,,eclipse,,,,,
hirtxek,,furthermore,,érqiě,而且,chinese,
hempost,,hemp,,,,,
hemrald,,emerald,,,,english,
henants,,enhance,,,,,
henform,,inform,,,,,
hencral,,enthral,,,,,
heqgalf,,engulf,,,,,
heqkxas,,anxious,,,,english,
hegzalt,,exalt,,,,,
hetxram,,etch,,,,,
heksarp,,excerpt,,,,english,
heksort,,extort,,,,,
hekspar,,expire,,,,english,
heksrit,,excrete,,,,english,
heskort,,escort,,,,english,
hambalz,,embezzle,,,,english,
hambark,,embark,,,,english,
hambold,,embolden,,,,english,
hambrod,,embroider,,,,english,
vol,,empty,,,,,
hamptud,,amplitude,,,,english,
hamplot,,employ,,,,english,
hampran,,empower,,,,,
hamlitz,,recommend,,lehaml(i)tz,לְהַמְלִיץ,hebrew,
handgol,,undergo,,,,,
handkof,,handcuff,,,,english,
handjan,,engineer,,,,,
handjol,,enjoy,,,,,
hantaks,,antioxidant,,,,english,
hantalt,,entitle,,,,,
hantson,,hence,,,,english,
hantxihunchteenenglish,
hantxat,,incline,,,अञ्चति,sanskrit,
hintlon,,antler,,,,english,,
hanklud,,include,,,,english,
hanfors,,enforce,,,,,
hanflak,,inflect,,,,,
hanfrij,,infringe,,,,,
hanvort,,invert,,,,,
hanvors,,anniversary,,,,,
hanxran,,enshrine,,,,english,
hanlist,,enlist,,,,,
hanredj,,enrage,,,,english,
haqglet,,ungulate,,,,english,
haqgrev,,engrave,,,,,
haqtxim,,evoke,,huanqi,唤起,chinese,
haqkrab,,hunk,,,,,
hagzort,,exert,,,,,
hadmant,,adamant,,,,english,
hadjorn,,adjourn,,,,english,
habdjak,,object (argument),,,,,
habsent,,absence,,,,english,
habsten,,abstain,,,,english,
habsruk,,obstruct,,,,english,
habzorb,,adsorb,,,,,,englishabridge,,,,english,
haprind,,apprehend,,,,english,
hatsfir,,atmosphere,,,,,
hatslan,,sloth,,atzlan,עַצְלָן,hebrew,
hatzitz,,peek,,lehatz(i)tz,לְהָצִיץ,hebrew,
hatzdiq,,salute,,lehatzd(i)a,לְהַצְדִּיעַ,hebrew,
hatzdik,,justify,,lehatzd(i)k,לְהַצְדִּיק,hebrew,
haknedj,,acknowledge,,,,english,
haksent,,eccentric,,,,,
hakspet,,expect,,,,english,
hakspal,,expel,,,,,
hakstol,,extol,,,,,
hasborg,,iceberg,,,,english,
haspret,,aspirate,,,,english,
hastand,,astound,,,,english,
hastrod,,asteroid,,,,english,
hasklim,,exclaim,,,,english,
hasklud,,exclude,,,,english,
haskret,,execrate,,,,,
haskrab,,ascribe,,,,english,
hafzitz,,bomb,,lehaftz(i)tz,לְהַפְצִיץ,hebrew,
haxmitz,,libel,,lehaxm(i)tz,לְהַשְׁמִיץ,hebrew,
haxlend,,lend,,,,english,
halmost,,almost,,,,english,
haldjen,,algae,,,,english,
haltxim,,curious,,hàoqí,好奇,chinese,
harendj,,arrange,,,,english,
maq,,harmony,,,,english,
bit,,beat,,,,english,
hartkol,,article,,,,,
hartzin,,sober,,lehaRtz(i)n,לְהַרְצִין,hebrew,
hartzil,,hertz,,,,english,
hartzot,,lecture,,lehaRtz(o)t,לְהַרְצוֹת,hebrew,
hartxan,,honor,,arcana,अर्चन,sanskrit,
harklet,,articulate,,,,english,
hobladj,,oblige,,,,,
hovtorn,,overturn,,,,english,
hordjip,,orgy,,,,,
hortxad,,orchard,,,,english,
humgrat,,emigrate,,,,,
huzband,,husband,,,,,
sindrom,,syndrome,,,,english,
sincsaz,,synthesize,,,,english,
siqkxap,,sink,,,,,
sikfant,,sycophant,,,,english,
sistraC,,cyst,,,,,
silants,,science,,,,,
sirkrab,,circumscribe,,,,,
sentsur,,censor,,,,english,
sentxet,,accentuate,,,,english,
seqkxan,,sanction,,,,,
segmint,,segment,,,,english,
sedmant,,sediment,,,,english,
sefgard,,safeguard,,,,,
sanditx,,sandwich,,,,,
sadjest,,suggest,,,,english,
sabdjak,,subject,,,,english,
savurt,,subvert,,,,english,
saspend,,suspend,,,,english,
salbret,,celebrate,,,,english,
salvant,,solvent,,,,english,
salvidj,,salvage,,,,english,
sarkast,,sarcasm,,,,english,
soldjar,,soldier,,,,,
sortfan,,certify,,,,english,
sumpxan,,assumption,,,,english,
subsdaz,,subsidize,,,,,
suplant,,supplant,,,,english,
sukxman,,keen,,,सूक्ष्म,sanskrit,
surdjin,,surgery,,,,,
surklet,,circulate,,,,,
survant,,servant,,,,,
snatxuC,,snatch,,,,,
snatras,,snot,,,,,
snoblag,,snub,,,,english,
spinatx,,spinach,,,,english,
spidrat,,speed,,,,english,
spirhid,,spearhead,,,,english,
spekatx,,speck,,,,,
spektak,,spectacle,,,,english,
spamrat,,spam,,,,,
spansor,,sponsor,,,,,
spaqgot,,spa,,,,,
spastan,,coherent,,spaṣṭá,स्पष्ट,sanskrit,
spaltoq,,spout,,,,english,
sparnik,,spurn,,,,english,
spardan,,rivalry,,spardhā,स्पर्धा,sanskrit,
spurtiq,,spurt,,,,,
splador,,splatter,,,,english,
splatur,,splutter,,,,,
sprenar,,sprain,,,,,
spratiq,,spry,,,,,
spralok,,sprawl,,,,english,
stimpot,,stump (baffle),,,,,
stiplet,,stipulate,,,,,
stiCur,,truncate,,,stýfður,icelandic,
stertap,,stereotype,,,,english,
stambam,,rigid,,,स्तम्भ,sanskrit,
stampot,,stump (tree),,,,english,
stampoC,,stamp,,,,,
stantag,,e,english,,stab,,,,,
statxur,,stature,,,,english,
stardol,,startle,,,,,
stolnak,,stow,,,,english,
stublat,,stub (toe),,,,,
stulatx,,stew,,,,,
stretan,,straigten (reverse),,,,,
strejar,,stranger,,,,,
stramik,,strum,,,,,
stradak,,stride,,,,,
stradul,,straddle,,,,english,
stratal,,strut,,,,,
strasaz,,ostracize,,,,english,
skitraj,,skit,,,,,
skampur,,scamper,,,,english,
skandur,,squander,,,,,
sklamat,,sham,,,,,
skrimat,,scream,,,,english,
skriCar,,slither,,,skrið,icelandic,
skrotam,,scrotum,,,,english,
skrunip,,screw,,,,,
svardat,,relish,,,स्वर्दते,sanskrit,
sleprin,,slip,,,,,
slagrut,,slog,,,,,
slabrat,,slab,,,,,
slapmac,,slap,,,,english,
srandor,,surrender,,,,english,
finants,,finance,,,,,
filtret,,filtrate,,,,english,
fentxad,,finch,,,,english,
fentxar,,pastel,,fěn cǎi,粉彩,chinese,
feqtxik,,sardonic,,fěng cì,讽刺,chinese,
feltran,,felt (material),,,,,
fandorg,,fondle,,,,,
fantxul,,font,,,,,
faktxul,,repeal,,feichu,废除,chinese,
falprat,,fall apart,,,,,
formost,,foremost,,,,english,
formlet,,formulate,,,,english,
formlak,,formula,,,,,
fordjiz,,forge,,,,,
fortxun,,fortune,,,,
,englishforecast,,,,,
fleqkat,,flank,,,,,
flexort,,flesh,,,,,
flagrit,,flag,,,,,
flapzon,,flop,,,,,
flastur,,fluster,,,,,
flartak,,flout,,,,english,
flortaj,,flirt,,,,,
fridjet,,refrigerate,,,,,
frikant,,frequency,,,,english,
frikxan,,friction,,,,english,
fraktal,,fractal,,,,english,
vindkat,,vindicate,,,,english,
vidjtet,,vegetate,,,,english,
vistrap,,vest (clothing),,,,english,
virtaks,,vertex,,,,english,
ventxar,,adventure,,,,english,
ventxur,,venture,,,,english,
velants,,valence,,,,english,
vandlaz,,vandalize,,,,english,
vasklar,,vascular,,,,english,
vartxun,,virtue,,,,
,englishvulture,,,,english,
vorteks,,vortex,,,,english,
vortxal,,virtual,,,,,
zintxal,,chastity,,zhencao,贞操,chinese,
zendjiz,,astonish,,zhèn jīng,震惊,chinese,
zentxek,,proper,,zhèngquè,正确,chinese,
zeqtxen,,policy,,zhèng cè,政策,chinese,
zandjam,,expert,,zhuānjiā,专家,chinese,
zantxeq,,subscribe,,zànchéng,赞成,chinese,
zaspret,,exasperate,,,,,
zaltxan,,slink,,zaochan,早产,chinese,
zoqtxeq,,loyal,,zhōng chéng,忠诚,chinese,
ximplat,,shim,,,,,
xiqkriC,,shrink,,,,,
xikdjal,,cult,,xiejiao,邪教,chinese,
xandjin,,cash,,xiàn jīn,现金,chinese,
xantxul,,drape,,xuanchui,悬垂,chinese,
xaqtxan,,produce,,shengchan,生产,chinese,
xatxgan,,correlate,,xiangguan,相关,chinese,
xoltxaq,,lanky,,shòu cháng,瘦长,chinese,
xuntxoq,,submissive,,shùn cóng,顺从,chinese,
cimpand,,impound,,,,,
cindaks,,index,,,,english,
cintarn,,internal,,,,,
cinvant,,inventory,,,,english,
citdjip,,get over,,,,,
camblez,,blaze,,,,english,
candman,,undermine,,,,,
candjur,,engender,,,,english,
caqgros,,engross.,,,,english,
caphold,,uphold,,,,english,
catgraf,,autograph,,,,english,
catredj,,outrage,,,,english,
caksdat,,extradite,,,,english,
castxul,,eschew,,,,english,
cavindj,,avenge,,,,english,
cordjet,,originate,,,,english,
cristaq,,squeeze,,,þrýsta,icelandic,
creklas,,coward,,,þreklaus,icelandic,
craqgun,,throng,,,,english,
craxold,,threshold,,,,english,
cruqgin,,stifle,,,þrunginn,icelandic,
yintxielicitteenyǐnqǐ,引起,chinese,
yiktxan,,heritage,,yichan,遗产,chinese,
yandjun,,grim,,yán jùn,严峻,chinese,
yaq,,permanent,,yongjiu,永久,chinese,
yiq,,impermanent,,,,,
yoqdjup,,tackle,,yòng jù,用具,chinese,
yoqtxik,,grit (strength),,yǒngqì,勇气,chinese,
yoldjim,,organic,,yǒu jī,有机,chinese,
wintsag,,wince,,,,,
wicdral,,withdraw,,,,,
wiltant,,wilt,,,,,
wetland,,wetland,,,,english,
wandjiq,,ambiance,,huánjìng,环境,chinese,
waltzan,,waltz,,,,,
wartiq,,warranty,,,,english,
warksur,,work out,,,,,
wormrik,,warm up,,,,,
limgarC,,hedge,,,limgerði,icelandic,
limprat,,limp,,,,,
lintrop,,lint,,,,,
lentxas,,lane,,,,,
levradj,,leverage,,,,,
lampren,,lamprey,,,,,
landjin,,lounge,,,,english,
landjun,,lunge,,,,english,
laqgras,,lawn,,,,,
laksmin,,prosperity,,lakshmi,लक्ष्मी,sanskrit,
lasents,,license,,,,,
lajslet,,legislate,,,,,
lalants,,alliance,,,,,
lorgsur,,log out,,,,,
lorbzat,,lobe,,,,,
lortxik,,lurch,,,,english,
lukproz,,look for,,,,english,
lurkats,,lurk,,,,,
lurvsur,,leave out,,,,,
rimlast,,last (remain),,,,,
rignats,,rig,,,,,
riprotx,,reproach,,,,english,
ritzpan,,floor,,ritzpa,רִצְפָּה,hebrew,
risortx,,research,,,,english,
rispand,,respond,,,,english,
ristart,,restart,,,,english,
rirandj,,rearrange,,,,english,
rentxak,,talent,,réncái,人才,chinese,
rentxor,,rant,,,,,
redjist,,register,,,,,
rampkol,,amplify,,ramkol,רַמְקוֹל,hebrew,
randjan,,dye,,rañjana,रञ्जन,sanskrit,
rantxiconscientiousteenrenzhen,认真,chinese,
rantxog,,runt,,,,,
rumnant,,ruminant,,,,english,
lazulin,,lapis lazuli,,,,,
murtxant,,merchant,,,,,
glimpsag,,glimpse,,,,,
grivants,,grieve,,,,,
disdjant,,disjoint,,,,,
dispants,,dispense,,,,,
djintxaq,,nervous,,jinzhang,紧张,chinese,
djiqdjik,,income,,jīngjì,经济,chinese,
djampras,,jump in,,,,,
djantxik,,insist,,jiānchí,坚持,chinese,
djantxaq,,robust,,jianzhuang,健壮,chinese,
djantxap,,examine,,jiancha,检查,chinese,
djaqdjin,,subsidy,,jiǎngjīn,奖金,chinese,
djakspoz,,juxtapose,,,,,
bunsport,,boon,,,,,
blijrant,,belligerent,,,,english,
purplaks,,perplex,,,,english,
plandjog,,plunge,,,,,
pritants,,pretense,,,,english,
prezdant,,president,,,,english,
propgand,,propaganda,,,,english,
proskrab,,prescribe,,,,,
testmant,,testament,,,,,
txeqdjin,,neat,,zhengqi,整齐,chinese,
txeqtxik,,hierarchy,,céngcì,层次,chinese,
txantxim,,puncture,,chuanci,穿刺,chinese,
txoqdjik,,summary,,zongjie,总结,chinese,
txuntxuq,,storage,,cunchu,存储,chinese,
trilampf,,triumph,,,,,
transpar,,transpire,,,,english,
tranzmut,,transmute,,,,,
troklant,,truculent,,,,english,
kindants,,condense,,,,english,
kamplant,,compliment,,,,,
kandsand,,condescend,,,,english,
kantplet,,contemplate,,,,english,
kantxold,,quench,,,,,
kanstrik,,,english
kanstruk,,construct,,,,,
kanstrul,,construe,,,,english,
kanskret,,consecrate,,,,,
kanfdent,,confident,,,,,
kanvurdj,,converge,,,,english,
komprend,,comprehend,,,,english,
kratchol,,crouch,,,,english,
hindjast,,ingest,,,,,
hintgral,,integral,,,,english,
hinsants,,incense (smell),,,,,
hinskrab,,inscribe,,,,,
hendaldj,,indulge,,,,,
hekspand,,expound,,,,english,
hekstrim,,extreme,,,,english,
hamnants,,eminence,,,,english,
hampindj,,impinge,,,,,
hamprint,,imprint,,,,,
handendj,,endanger,,,,,
hantpriz,,enterprise,,,,,
hantrast,,entrust,,,,english,
hanstrak,,instruct,,,,english,
haqkrotx,,encroach,,,,,
hadvants,,advance,,,,english,
hatborst,,outburst,,,,english,
hask,,explore,,,,english,
hakstiqk,,extinct,,extinct,,english,
hafspriq,,offspring,,,,english,
havdants,,evidence,,,,english,
havlantx,,avalanche,,,,english,
hargmant,,argument (conversation),,,,,
simplaks,,simplex,,,,english,
sintgrat,,disintegrate,,,,english,
sirkvent,,circumvent,,,,,
sentants,,sentence (ruling),,,,,
sabmordj,,submerge,,,,english,
spektram,,spectrum,,,,english,
splintur,,splinter,,,,,
standsur,,stand out,,,,,
strimlan,,streamline,,,,english,
streqgal,,strangle,,,,english,
skavindj,,scavenge,,,,english,
skaldman,,scald,,,,,
skortxak,,scorch,,,,english,
skriblaq,,scribble,,,,english,
skrutnik,,scrutiny,,,,english,
frindzin,,frenzy,,,,english,
ciqkdjip,,think over,,,,,
corkstet,,orchestrate,,,,,
wicstand,,withstand,,,,english,
landskep,,landscape,,,,english,
ritxardj,,recharge,,,,english,
restrant,,restaurant,,,,english,
raf,,reference,,,,,
drentxark,,drench,,,,,
blandfold,,blindfold,,,,,
tranzfiks,,transfix,,,,english,
kanstrent,,constraint,,,,,
hinstants,,instance,,,,english,
hamblants,,ambulance,,,,,
hantrantx,,entrench,,,,,
harbtradj,,arbitrage,,,,english,
sobstants,,substance,,,,english,
fregrants,,fragrance,,,,,
Cistendj,,estrange,,,,,
hancrasat,,anthracite,,,,,
strindjant,,stringent,,,,english,
mord,,manifold,,,,english,
vinas,,venus,,,,english,
marzas,,mars,,,,english,
djuptas,,jupiter,,,,english,
satras,,saturn,,,,english,
markas,,mercury,,,,english,
hircas,,planet earth,,,,english,
smaldan,,smilodon,,,,english,
halyun,,hyena,,,,english,
haratx,,auroch,,,,english,
gaq,,caw,,,,english,
prants,,prance,,,,english,
deziq,,daisy,,,,english,
porpan,,porcupine,,,,english,
petor,,patter,,,,english,
stalc,,stealth,,,,english,
madjast,,majesty,,,,english,
djaged,,jagged,,,,english,
hekspants,,expanse,,,,english,
talit,,twilight,,,,english,
pabol,,pebble,,,,english,
tapstriq,,tapestry,,,,english,
sarned,,serenade,,,,english,
sistants,,persistence,,,,english,
tamoltx,,tumultuous,,,,english,
stark,,stark,,,,english,
rilant,,relentless,,,,english,
baran,,barren,,,,english,
zilant,,resilient,,,,english,
pristin,,pristine,,,,english,
lusiv,,elusive,,,,english,
salter,,solitary,,,,english,
hanforl,,unfurl,,,,english,
pandoz,,pond,,,,english,
flitiq,,fleeting,,,,english,
tux,,intuition,,,,english,
kagnix,,cognition,,,,english,
halc,,ethnicity,,,,english,
xor,,omniscient,,,,english,
pram,,,rimordial,,,,english,
spland,,splendor,,,,english,
vuq,,foundation,,,,english,
salvex,,salvation,,,,english,
burbir,,barbarian,,,,english,
garland,,garland,,,,english,
lonak,,lone,,,,english,
plas,,compassion,,,,english,
potant,,impotent,,,,english,
fibal,,feeble,,,,english,
haplas,,helpless,,,,english,
dijan,,indecision,,,,english,
pacrun,,pass through,,,,english,
hudjant,,huge amount,,,,english,
grand,,grand,,,,english,
mikran,,mechanical,,,,english,
lin,,illusion,,,,english,
larv,,larva,,,,english,
fus,,discontinuous,,,,,
hasid,,piety,,,חסידות,hebrew,
sorsis,,exorcise,,,,,english,
histark,,hysterical,,,,,english,
hen,,nothing,,,,,,
ves,,vessel,,,,,,
viq,,everything,,,,,,
buz,,bosom,,,,,,
havents,,offense,,,,,,
txin,,teen,,,,,,
trambon,,trombone,,,,,english,
motif,,motif,,,,,english,
metfor,,metaphor,,,,,english,
lusad,,lucid,,,,,english,
skrandj,,scrounge,,,,,english,
